URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/parek-collector-pr,StructureDefinition/parek-specimen,StructureDefinition/parek-service-request,StructureDefinition/parek-practitioner-role,StructureDefinition/parek-requester-pr,StructureDefinition/parek-device","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/parek-collector-pr,StructureDefinition/parek-specimen,StructureDefinition/parek-service-request,StructureDefinition/parek-practitioner-role,StructureDefinition/parek-requester-pr,StructureDefinition/parek-device","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/parek-collector-pr,StructureDefinition/parek-specimen,StructureDefinition/parek-service-request,StructureDefinition/parek-practitioner-role,StructureDefinition/parek-requester-pr,StructureDefinition/parek-device","Other"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.89,2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/parek-service-request","SCT"
http://hl7.org/fhir/ValueSet/participant-role,5.0.0,draft,"2.16.840.1.113883.4.642.2.61,2.16.840.1.113883.4.642.3.143,2.16.840.1.113883.4.642.3.152",ParticipantRoles,Participant Roles,"Roles of participants that may be included in a care team.  Defined as: Healthcare professional (occupation) or Services (qualifier value).","StructureDefinition/parek-service-request","SCT"
http://hl7.org/fhir/ValueSet/practitioner-role,5.0.0,draft,"2.16.840.1.113883.4.642.3.430,2.16.840.1.113883.4.642.2.251,2.16.840.1.113883.4.642.3.439",PractitionerRole,Practitioner Role,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","StructureDefinition/parek-collector-pr,StructureDefinition/parek-practitioner-role,StructureDefinition/parek-requester-pr","SCT,THO"
http://hl7.org/fhir/ValueSet/procedure-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.418,2.16.840.1.113883.4.642.3.427,2.16.840.1.113883.4.642.2.417",ProcedureCodesSNOMEDCT,Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/parek-service-request","SCT"
http://hl7.org/fhir/ValueSet/procedure-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.432,2.16.840.1.113883.4.642.3.423,2.16.840.1.113883.4.642.2.419",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/parek-service-request","SCT"
http://hl7.org/fhir/ValueSet/request-intent,5.0.0,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/parek-service-request","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/request-priority,5.0.0,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","StructureDefinition/parek-service-request","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/request-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/parek-service-request","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/resource-types,5.0.0,active,"2.16.840.1.113883.4.642.3.27",ResourceType,Resource Types,"Concrete FHIR Resource Types","StructureDefinition/parek-collector-pr,StructureDefinition/parek-specimen,StructureDefinition/parek-service-request,StructureDefinition/parek-practitioner-role,StructureDefinition/parek-requester-pr","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/service-mode,5.0.0,draft,"2.16.840.1.113883.4.642.4.3322",ServiceMode,Service Mode,"An example set of Service Modes that could be applicable to use to characterize HealthcareServices or PractitionerRoles while searching","StructureDefinition/parek-collector-pr,StructureDefinition/parek-practitioner-role,StructureDefinition/parek-requester-pr","hl7.fhir.r5.core"
